prediction_file,target_file,field_name,evaluation_method,scoring_type,tp,fp,fn,tn,expected,actual
aas0055-0039.xml,aas0055-0039.nxml,title,exact,string,1,0,0,0,Phosphate-containing dialysis solution prevents hypophosphatemia during continuous renal replacement therapy,Phosphate-containing dialysis solution prevents hypophosphatemia during continuous renal replacement therapy
aas0055-0039.xml,aas0055-0039.nxml,title,levenshtein,string,1,0,0,0,Phosphate-containing dialysis solution prevents hypophosphatemia during continuous renal replacement therapy,Phosphate-containing dialysis solution prevents hypophosphatemia during continuous renal replacement therapy
aas0055-0039.xml,aas0055-0039.nxml,abstract,exact,string,0,0,1,0,"Background Hypophosphatemia occurs in up to 80% of the patients during continuous renal replacement therapy (CRRT). Phosphate supplementation is time-consuming and the phosphate level might be dangerously low before normophosphatemia is re-established. This study evaluated the possibility to prevent hypophosphatemia during CRRT treatment by using a new commercially available phosphate-containing dialysis fluid. Methods Forty-two heterogeneous intensive care unit patients, admitted between January 2007 and July 2008, undergoing hemodiafiltration, were treated with a new Gambro dialysis solution with 1.2 mM phosphate (Phoxilium) or with standard medical treatment (Hemosol B0). The patients were divided into three groups: group 1 (n=14) receiving standard medical treatment and intravenous phosphate supplementation as required, group 2 (n=14) receiving the phosphate solution as dialysate solution and Hemosol B0 as replacement solution and group 3 (n=14) receiving the phosphate-containing solution as both dialysate and replacement solutions. Results Standard medical treatment resulted in hypophosphatemia in 11 of 14 of the patients (group 1) compared with five of 14 in the patients receiving phosphate solution as the dialysate solution and Hemosol B0 as the replacement solution (group 2). Patients treated with the phosphate-containing dialysis solution (group 3) experienced stable serum phosphate levels throughout the study. Potassium, ionized calcium, magnesium, pH, pCO2 and bicarbonate remained unchanged throughout the study. Conclusion The new phosphate-containing replacement and dialysis solution reduces the variability of serum phosphate levels during CRRT and eliminates the incidence of hypophosphatemia.",
aas0055-0039.xml,aas0055-0039.nxml,abstract,levenshtein,string,0,0,1,0,"Background Hypophosphatemia occurs in up to 80% of the patients during continuous renal replacement therapy (CRRT). Phosphate supplementation is time-consuming and the phosphate level might be dangerously low before normophosphatemia is re-established. This study evaluated the possibility to prevent hypophosphatemia during CRRT treatment by using a new commercially available phosphate-containing dialysis fluid. Methods Forty-two heterogeneous intensive care unit patients, admitted between January 2007 and July 2008, undergoing hemodiafiltration, were treated with a new Gambro dialysis solution with 1.2 mM phosphate (Phoxilium) or with standard medical treatment (Hemosol B0). The patients were divided into three groups: group 1 (n=14) receiving standard medical treatment and intravenous phosphate supplementation as required, group 2 (n=14) receiving the phosphate solution as dialysate solution and Hemosol B0 as replacement solution and group 3 (n=14) receiving the phosphate-containing solution as both dialysate and replacement solutions. Results Standard medical treatment resulted in hypophosphatemia in 11 of 14 of the patients (group 1) compared with five of 14 in the patients receiving phosphate solution as the dialysate solution and Hemosol B0 as the replacement solution (group 2). Patients treated with the phosphate-containing dialysis solution (group 3) experienced stable serum phosphate levels throughout the study. Potassium, ionized calcium, magnesium, pH, pCO2 and bicarbonate remained unchanged throughout the study. Conclusion The new phosphate-containing replacement and dialysis solution reduces the variability of serum phosphate levels during CRRT and eliminates the incidence of hypophosphatemia.",
aas0055-0039.xml,aas0055-0039.nxml,keywords,exact,set,0,0,0,1,,
aas0055-0039.xml,aas0055-0039.nxml,keywords,levenshtein,set,0,0,0,1,,
aas0055-0039.xml,aas0055-0039.nxml,author_surnames,exact,partial_set,0,1,0,0,BROMAN,Broman
aas0055-0039.xml,aas0055-0039.nxml,author_surnames,exact,partial_set,0,1,0,0,CARLSSON,Carlsson
aas0055-0039.xml,aas0055-0039.nxml,author_surnames,exact,partial_set,0,1,0,0,FRIBERG,Friberg
aas0055-0039.xml,aas0055-0039.nxml,author_surnames,exact,partial_set,0,1,0,0,GODALY,Godaly
aas0055-0039.xml,aas0055-0039.nxml,author_surnames,exact,partial_set,0,1,0,0,WIESLANDER,Wieslander
aas0055-0039.xml,aas0055-0039.nxml,author_surnames,levenshtein,partial_set,0,1,0,0,BROMAN,Broman
aas0055-0039.xml,aas0055-0039.nxml,author_surnames,levenshtein,partial_set,0,1,0,0,CARLSSON,Carlsson
aas0055-0039.xml,aas0055-0039.nxml,author_surnames,levenshtein,partial_set,0,1,0,0,FRIBERG,Friberg
aas0055-0039.xml,aas0055-0039.nxml,author_surnames,levenshtein,partial_set,0,1,0,0,GODALY,Godaly
aas0055-0039.xml,aas0055-0039.nxml,author_surnames,levenshtein,partial_set,0,1,0,0,WIESLANDER,Wieslander
aas0055-0039.xml,aas0055-0039.nxml,first_author_surname,exact,string,0,1,0,0,BROMAN,Broman
aas0055-0039.xml,aas0055-0039.nxml,first_author_surname,levenshtein,string,0,1,0,0,BROMAN,Broman
aas0055-0039.xml,aas0055-0039.nxml,author_given_names,exact,list,1,0,0,0,"M, O, H, A, G","M, O, H, A, G"
