document_count,evaluation_method,scoring_type,field_name,stats_name,tp,fp,fn,tn,accuracy,precision,recall,f1
10,exact,list,affiliation_text,None,0,10,0,90,0.9,0.0,0,0
10,exact,list,figure_labels,None,0,0,6,94,0.94,0,0.0,0
10,exact,list,figure_captions,None,0,0,7,93,0.93,0,0.0,0
10,exact,list,figure_label_captions,None,0,0,7,93,0.93,0,0.0,0
10,exact,list,first_reference_text,None,0,10,0,90,0.9,0.0,0,0
10,exact,list,first_reference_fields,None,0,10,0,90,0.9,0.0,0,0
10,exact,list,reference_text,None,0,10,0,90,0.9,0.0,0,0
10,exact,list,None,micro,None,None,None,None,0.9142857142857143,0.0,0.0,0
10,exact,list,None,macro,None,None,None,None,0.9142857142857145,0.0,0.0,0.0
10,levenshtein,list,affiliation_text,None,4,6,0,61,0.9154929577464789,0.4,0.4,0.4000000000000001
10,levenshtein,list,figure_labels,None,0,0,6,65,0.9154929577464789,0,0.0,0
10,levenshtein,list,figure_captions,None,0,0,7,64,0.9014084507042254,0,0.0,0
10,levenshtein,list,figure_label_captions,None,0,0,7,64,0.9014084507042254,0,0.0,0
10,levenshtein,list,first_reference_text,None,10,0,0,61,1.0,1.0,1.0,1.0
10,levenshtein,list,first_reference_fields,None,9,1,0,61,0.9859154929577465,0.9,0.9,0.9
10,levenshtein,list,reference_text,None,6,4,0,61,0.9436619718309859,0.6,0.6,0.6
10,levenshtein,list,None,micro,None,None,None,None,0.937625754527163,0.725,0.48333333333333334,0.58
10,levenshtein,list,None,macro,None,None,None,None,0.9376257545271629,0.41428571428571426,0.41428571428571426,0.4142857142857143
10,exact,partial_list,section_titles,None,17,66,8,1721,0.9591611479028698,0.20481927710843373,0.18681318681318682,0.19540229885057472
10,exact,partial_list,table_strings,None,0,0,12,1800,0.9933774834437086,0,0.0,0
10,exact,partial_list,table_labels,None,0,0,11,1801,0.9939293598233996,0,0.0,0
10,exact,partial_list,table_captions,None,0,0,11,1801,0.9939293598233996,0,0.0,0
10,exact,partial_list,table_label_captions,None,0,0,11,1801,0.9939293598233996,0,0.0,0
10,exact,partial_list,reference_fields,None,8,169,3,1632,0.9050772626931567,0.04519774011299435,0.044444444444444446,0.04481792717086834
10,exact,partial_list,reference_title,None,106,21,2,1683,0.9873068432671082,0.8346456692913385,0.8217054263565892,0.8281249999999999
10,exact,partial_list,reference_year,None,125,52,3,1632,0.9696467991169978,0.7062146892655368,0.6944444444444444,0.7002801120448179
10,exact,partial_list,reference_source,None,115,50,8,1639,0.9679911699779249,0.696969696969697,0.6647398843930635,0.6804733727810651
10,exact,partial_list,reference_volume,None,116,45,3,1648,0.9735099337748344,0.7204968944099379,0.7073170731707317,0.7138461538461538
10,exact,partial_list,reference_fpage,None,119,51,3,1639,0.9701986754966887,0.7,0.6878612716763006,0.6938775510204082
10,exact,partial_list,reference_lpage,None,120,50,3,1639,0.9707505518763797,0.7058823529411765,0.6936416184971098,0.6997084548104957
10,exact,partial_list,None,micro,None,None,None,None,0.9732339955849889,0.5902439024390244,0.555045871559633,0.5721040189125295
10,exact,partial_list,None,macro,None,None,None,None,0.973233995584989,0.3845188600082596,0.37508061248298924,0.379710905877032
10,levenshtein,partial_list,section_titles,None,20,63,8,1548,0.9566809029896278,0.24096385542168675,0.21978021978021978,0.22988505747126436
10,levenshtein,partial_list,table_strings,None,0,0,12,1627,0.9926784624771202,0,0.0,0
10,levenshtein,partial_list,table_labels,None,0,0,11,1628,0.9932885906040269,0,0.0,0
10,levenshtein,partial_list,table_captions,None,0,0,11,1628,0.9932885906040269,0,0.0,0
10,levenshtein,partial_list,table_label_captions,None,0,0,11,1628,0.9932885906040269,0,0.0,0
10,levenshtein,partial_list,reference_fields,None,167,10,3,1459,0.9920683343502136,0.943502824858757,0.9277777777777778,0.9355742296918768
10,levenshtein,partial_list,reference_title,None,117,10,2,1510,0.9926784624771202,0.9212598425196851,0.9069767441860465,0.9140625
10,levenshtein,partial_list,reference_year,None,125,52,3,1459,0.9664429530201343,0.7062146892655368,0.6944444444444444,0.7002801120448179
10,levenshtein,partial_list,reference_source,None,115,50,8,1466,0.9646125686394142,0.696969696969697,0.6647398843930635,0.6804733727810651
10,levenshtein,partial_list,reference_volume,None,116,45,3,1475,0.9707138499084808,0.7204968944099379,0.7073170731707317,0.7138461538461538
10,levenshtein,partial_list,reference_fpage,None,119,51,3,1466,0.9670530811470409,0.7,0.6878612716763006,0.6938775510204082
10,levenshtein,partial_list,reference_lpage,None,120,50,3,1466,0.9676632092739476,0.7058823529411765,0.6936416184971098,0.6997084548104957
10,levenshtein,partial_list,None,micro,None,None,None,None,0.9792047996745983,0.7308943089430894,0.6873088685015291,0.7084318360914106
10,levenshtein,partial_list,None,macro,None,None,None,None,0.9792047996745984,0.46960751303220644,0.4585449194938078,0.4639756193055069
10,exact,partial_set,author_surnames,None,0,0,47,172,0.7853881278538812,0,0.0,0
10,exact,partial_set,author_full_names,None,19,24,5,171,0.867579908675799,0.4418604651162791,0.3958333333333333,0.4175824175824176
10,exact,partial_set,affiliation_strings,None,1,25,1,192,0.8812785388127854,0.038461538461538464,0.037037037037037035,0.03773584905660377
10,exact,partial_set,affiliation_institution,None,5,21,1,192,0.8995433789954338,0.19230769230769232,0.18518518518518517,0.18867924528301885
10,exact,partial_set,None,micro,None,None,None,None,0.8584474885844748,0.2631578947368421,0.16778523489932887,0.20491803278688522
10,exact,partial_set,None,macro,None,None,None,None,0.8584474885844748,0.16815742397137745,0.1545138888888889,0.16099937798051006
10,levenshtein,partial_set,author_surnames,None,0,0,47,150,0.7614213197969543,0,0.0,0
10,levenshtein,partial_set,author_full_names,None,24,19,5,149,0.8781725888324873,0.5581395348837209,0.5,0.5274725274725274
10,levenshtein,partial_set,affiliation_strings,None,17,9,1,170,0.949238578680203,0.6538461538461539,0.6296296296296297,0.6415094339622641
10,levenshtein,partial_set,affiliation_institution,None,6,20,1,170,0.8934010152284264,0.23076923076923078,0.2222222222222222,0.22641509433962265
10,levenshtein,partial_set,None,micro,None,None,None,None,0.8705583756345178,0.49473684210526314,0.31543624161073824,0.38524590163934425
10,levenshtein,partial_set,None,macro,None,None,None,None,0.8705583756345178,0.3606887298747764,0.337962962962963,0.3488492639436035
10,exact,partial_table,tables,None,0,0,12,0,0.0,0,0.0,0
10,exact,partial_table,None,micro,None,None,None,None,0.0,0,0.0,0
10,exact,partial_table,None,macro,None,None,None,None,0.0,0.0,0.0,0.0
10,levenshtein,partial_table,tables,None,0,0,12,0,0.0,0,0.0,0
10,levenshtein,partial_table,None,micro,None,None,None,None,0.0,0,0.0,0
10,levenshtein,partial_table,None,macro,None,None,None,None,0.0,0.0,0.0,0.0
10,exact,set,keywords,None,2,1,3,1,0.42857142857142855,0.6666666666666666,0.3333333333333333,0.4444444444444444
10,exact,set,None,micro,None,None,None,None,0.42857142857142855,0.6666666666666666,0.3333333333333333,0.4444444444444444
10,exact,set,None,macro,None,None,None,None,0.42857142857142855,0.6666666666666666,0.3333333333333333,0.4444444444444444
10,levenshtein,set,keywords,None,2,1,3,1,0.42857142857142855,0.6666666666666666,0.3333333333333333,0.4444444444444444
10,levenshtein,set,None,micro,None,None,None,None,0.42857142857142855,0.6666666666666666,0.3333333333333333,0.4444444444444444
10,levenshtein,set,None,macro,None,None,None,None,0.42857142857142855,0.6666666666666666,0.3333333333333333,0.4444444444444444
10,exact,string,title,None,7,3,0,50,0.95,0.7,0.7,0.7
10,exact,string,abstract,None,2,5,2,51,0.8833333333333333,0.2857142857142857,0.2222222222222222,0.25
10,exact,string,first_author_surname,None,0,0,10,50,0.8333333333333334,0,0.0,0
10,exact,string,first_author_full_name,None,4,6,0,50,0.9,0.4,0.4,0.4000000000000001
10,exact,string,first_reference_title,None,7,0,0,53,1.0,1.0,1.0,1.0
10,exact,string,None,micro,None,None,None,None,0.9133333333333333,0.5882352941176471,0.43478260869565216,0.5
10,exact,string,None,macro,None,None,None,None,0.9133333333333333,0.47714285714285715,0.4644444444444444,0.47000000000000003
10,levenshtein,string,title,None,10,0,0,44,1.0,1.0,1.0,1.0
10,levenshtein,string,abstract,None,4,3,2,45,0.9074074074074074,0.5714285714285714,0.4444444444444444,0.5
10,levenshtein,string,first_author_surname,None,0,0,10,44,0.8148148148148148,0,0.0,0
10,levenshtein,string,first_author_full_name,None,5,5,0,44,0.9074074074074074,0.5,0.5,0.5
10,levenshtein,string,first_reference_title,None,7,0,0,47,1.0,1.0,1.0,1.0
10,levenshtein,string,None,micro,None,None,None,None,0.9259259259259259,0.7647058823529411,0.5652173913043478,0.65
10,levenshtein,string,None,macro,None,None,None,None,0.9259259259259259,0.6142857142857142,0.5888888888888889,0.6
